"","PID","home.size","lot.size","rooms","bathrooms","utilities","year.built","overall.condition","brick","price"
"11",11,1950,0.5,7,1.5,251,1994,5,"Yes",152000
"17",17,1930,3,9,3,201,1951,5,"Yes",199000
"19",19,1362,0.4,7,2,253,1977,3,"Yes",153500
"23",23,2130,11.91,8,1.5,251,2008,7,"No",332000
"35",35,2858,0.79,9,3,225,2008,5,"No",199900
"45",45,1300,0.3,7,1,192,2005,5,"Yes",166000
"52",52,1950,18.7,7,2.5,253,1999,5,"No",297000
"63",63,2100,0.58,8,1.5,195,2004,5,"No",185000
"76",76,1200,0.25,7,1,254,1963,5,"No",149000
"92",92,1800,1,8,2.5,199,2010,5,"No",165000
"93",93,1200,0.33,6,1,259,2000,5,"No",159000
"104",104,2100,1,8,2.5,203,1963,5,"Yes",202000
"106",106,1632,3,6,3,208,1966,5,"No",171900
"112",112,3150,0.3,11,4,201,2002,7,"No",265000
"115",115,1800,1.52,8,2.5,264,1966,4,"No",210000
"121",121,2400,0.5,8,2.5,254,2009,5,"No",212000
"124",124,2010,0.68,8,1.5,261,1957,6,"Yes",207000
"126",126,1725,1.53,8,2.5,204,1959,5,"No",195000
"135",135,1100,0.17,5,1,239,1994,3,"Yes",137000
"144",144,1728,0.5,8,1.5,268,2000,4,"Yes",189000
